text,canonical_form_1,canonical_form_2severity_rating,severity_description
jizz licker,jizz,2.4,Strong
jizz-jockey,jizz,2.2,Strong
jizzbags,jizz,2.4,Strong
jizzed,jizz,2,Strong
jizzes,jizz,2.2,Strong
jizzfucker,fuck,jizz2.6,Severe
jizzing,jizz,1.6,Strong
jizzsacks,jizz,1.8,Strong
jizzstain,jizz,2.8,Severe
jizzy,jizz,1.6,Strong
k!k3,kike,2.6,Severe
k!ke,kike,3,Severe
k..!ke,kike,3,Severe
k1k3,kike,3,Severe
k1ke,kike,2.8,Severe
kid diddler,diddle,3,Severe
kiddy touch,kidtoucher,1.8,Strong
kike,kike,3,Severe
kikes,kike,3,Severe
kiss ass,ass,1,Mild
kiss my ass,ass,1.6,Strong
kitty puncher,kitty puncher,2.2,Strong
kkk,kkk,1.8,Strong
klan,klan,1.8,Strong
klitoris,clit,1,Mild
kneegrows,negro,2.8,Severe
knickers,nigger,1.8,Strong
knob,knob,1.4,Mild
knob eater,knob,2.2,Strong
knob gobbler,knob,1.8,Strong
knob jockey,knob,1.8,Strong
knob-face,knob,1.6,Strong
knob-gobbler,knob,1.6,Strong
knob-head,knob,2,Strong
knob3d,knob,1.6,Strong
knob3nd,knob,1.2,Mild
knobd,knob,1.2,Mild
knobe,knob,1,Mild
knobead,knob,1.4,Mild
knobeads,knob,1.4,Mild
knobed,knob,1.4,Mild
